User-ID,ISBN,Book-Rating
4017,0060915544,8
4017,0060929871,9
4017,0140244824,10
4017,014028009X,9
4017,0316096199,10
4017,0316666343,10
4017,0316899984,5
4017,0345424719,10
4017,0345443284,10
4017,037570504X,10
4017,0375705856,9
4017,0375707972,10
4017,0380730138,9
4017,0385265700,9
4017,038533334X,10
4017,0385486804,10
4017,0446310786,10
4017,0452260116,9
4017,0452282829,10
4017,0670892963,8
4017,0671038184,10
4017,0671510053,10
4017,067976402X,10
4017,068484267X,10
4017,068484477X,5
4017,1573225789,9
6242,0060934417,7
6242,0060958022,6
6242,0060987103,7
6242,0140293248,5
6242,0142001430,7
6242,0312195516,7
6242,0312243022,8
6242,0312282990,6
6242,0312291639,5
6242,0375705856,5
6242,0375707972,8
6242,0375726403,7
6242,038542017X,7
6242,039592720X,5
6242,0446670251,5
6242,0452264464,5
6242,0679746048,5
6242,0679751521,5
6242,067976402X,8
6242,068484267X,8
6242,068484477X,8
6242,0871136791,8
6242,1573225789,7
6242,1573227331,6
6242,1573229326,6
6251,0060392452,10
6251,0061009059,7
6251,0140067477,10
6251,0312966091,9
6251,0312980140,7
6251,0316569321,8
6251,0375725784,4
6251,0375727345,6
6251,0380789035,7
6251,0380813815,10
6251,0385484518,7
6251,0394820371,10
6251,0439136350,10
6251,0439139597,10
6251,043935806X,9
6251,0440206154,7
6251,0440222656,7
6251,0440224675,6
6251,0440498058,10
6251,0440998050,10
6251,0441003257,10
6251,0446532231,10
6251,0609610597,3
6251,0670894605,8
6251,0679731148,7
6251,067976402X,8
6251,068484267X,8
6251,0786817070,8
6251,0786885688,8
6251,1400032717,10
6563,0060199652,8
6563,0060915544,9
6563,0060987103,8
6563,0060987529,8
6563,0061097101,10
6563,0312278586,7
6563,0385335830,7
6563,0385484518,10
6563,0439139600,9
6563,043935806X,10
6563,0440211727,10
6563,0440213525,9
6563,0440226430,9
6563,059035342X,8
6563,0671021001,2
6563,0671693816,7
6563,0684872153,1
6563,0743418174,9
6563,0767900383,3
6563,0786868716,10
6563,0786881852,8
6575,0060502258,8
6575,0060928336,8
6575,0060934417,9
6575,0060987103,9
6575,014028009X,4
6575,0140293248,8
6575,014029628X,7
6575,0140298479,6
6575,0141000198,4
6575,0142001740,8
6575,0312195516,8
6575,0312243022,7
6575,0312265867,9
6575,0312282990,9
6575,0312966970,9
6575,0312980140,9
